id,name,pronouns,city,genre,genre_list,social,tags
58,Kerrie,,,Unknown Genre,,,
100,2Lanes,,,Unknown Genre,,,
115,DJ Skurge,,,Unknown Genre,,,
179,Kevin Reynolds,,,Unknown Genre,,,
308,Kudeki,,,,,,
309,Torsion,,,,,,
405,Planet KaiA,,,,,,
536,Invite Only,,,,,,
550,DJ Di'jital,,,,,,
579,program17,,,,,,
583,Derek Michael,,,,,,
599,Charles Trees,,,,,,
698,Stevano,,,,,,
756,Dutch Mike,,,,,,
870,Patio,,,,,,
990,autogyro,,,,,,
1212,Uriah G,,,,,,
3299,4AM NYC,,,,,,
3300,Ameera,,,,,,
3317,Nathan Barato,,,,,,
3318,n808,,,,,,
3319,Rob Threezy,,,,,,
3320,Liquid City Motors,,,,,,
3324,Reeko,,,,,,
3325,Architectural,,,,,,
3326,Feral,,,,,,
3327,Spekki Webu,,,,,,
3328,Z.I.P.P.O,,,,,,
3329,Timnah,,,,,,
3330,RMNA,,,,,,
3331,Matador,,,,,,
3332,Mirko Loko,,,,,,
3333,DJ Psycho,,,,,,
3334,Antikkka,,,,,,
3335,Tink Thomas,,,,,,
3336,IPOK,,,,,,
3337,Reggie Dokes,,,,,,
3338,DJ Phil,,,,,,
3339,Kittamami,,,,,,
3340,Quiana Parks,,,,,,
3341,Cyber Witch,,,,,,
3342,Kimyon,,,,,,
